set_num,name,num_parts,set_img_url,set_url,last_modified_dt
fig-000001,Toy Store Employee,4,https://cdn.rebrickable.com/media/sets/fig-000001/55726.jpg,https://rebrickable.com/minifigs/fig-000001/toy-store-employee/,2020-05-27T21:47:00.694941Z
fig-000002,Customer Kid,4,https://cdn.rebrickable.com/media/sets/fig-000002/104348.jpg,https://rebrickable.com/minifigs/fig-000002/customer-kid/,2020-05-27T21:47:11.750470Z
fig-000003,"Assassin Droid, White",8,https://cdn.rebrickable.com/media/sets/fig-000003/118047.jpg,https://rebrickable.com/minifigs/fig-000003/assassin-droid-white/,2020-06-20T00:49:06.811000Z
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-000004/60741.jpg,https://rebrickable.com/minifigs/fig-000004/man-white-torso-black-legs-brown-hair/,2022-08-21T21:05:23.794404Z
fig-000005,Captain America with Short Legs,3,https://cdn.rebrickable.com/media/sets/fig-000005/117614.jpg,https://rebrickable.com/minifigs/fig-000005/captain-america-with-short-legs/,2020-04-23T00:09:38.460466Z
fig-000006,Lloyd Avatar,5,https://cdn.rebrickable.com/media/sets/fig-000006/57381.jpg,https://rebrickable.com/minifigs/fig-000006/lloyd-avatar/,2020-03-31T18:20:27.611339Z
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5,https://cdn.rebrickable.com/media/sets/fig-000007/109671.jpg,https://rebrickable.com/minifigs/fig-000007/lloyd-digi-lloyd-katana-holders/,2020-08-01T17:04:39.064733Z
fig-000008,Wonder Woman,4,https://cdn.rebrickable.com/media/sets/fig-000008/127002.jpg,https://rebrickable.com/minifigs/fig-000008/wonder-woman/,2020-04-01T20:30:26.899846Z
fig-000009,The Flash,4,https://cdn.rebrickable.com/media/sets/fig-000009/110331.jpg,https://rebrickable.com/minifigs/fig-000009/the-flash/,2020-05-03T20:19:42.457654Z
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5,https://cdn.rebrickable.com/media/sets/fig-000010/109968.jpg,https://rebrickable.com/minifigs/fig-000010/batman-dark-bluish-gray-suit-black-cape-and-cowl-black-head-dark-bluish-gray-legs-small-batman-logo/,2021-10-01T20:43:32.993669Z
fig-000011,Captain Cold,4,https://cdn.rebrickable.com/media/sets/fig-000011/57238.jpg,https://rebrickable.com/minifigs/fig-000011/captain-cold/,2020-05-03T17:21:08.623556Z
fig-000012,Truck Driver,4,https://cdn.rebrickable.com/media/sets/fig-000012/129431.jpg,https://rebrickable.com/minifigs/fig-000012/truck-driver/,2020-05-03T20:21:09.193848Z
fig-000013,Gorilla Grodd,7,https://cdn.rebrickable.com/media/sets/fig-000013/127218.jpg,https://rebrickable.com/minifigs/fig-000013/gorilla-grodd/,2020-04-11T13:52:35.246612Z
fig-000014,"Batgirl, Dark Purple Suit, Wings",5,https://cdn.rebrickable.com/media/sets/fig-000014/114298.jpg,https://rebrickable.com/minifigs/fig-000014/batgirl-dark-purple-suit-wings/,2021-10-01T22:21:02.172704Z
fig-000015,Sir Fangar,7,https://cdn.rebrickable.com/media/sets/fig-000015/105825.jpg,https://rebrickable.com/minifigs/fig-000015/sir-fangar/,2020-04-11T13:00:46.015340Z
fig-000016,Stealthor,6,https://cdn.rebrickable.com/media/sets/fig-000016/114732.jpg,https://rebrickable.com/minifigs/fig-000016/stealthor/,2020-04-11T13:00:20.432731Z
fig-000017,Gorzan,6,https://cdn.rebrickable.com/media/sets/fig-000017/105491.jpg,https://rebrickable.com/minifigs/fig-000017/gorzan/,2021-10-06T22:14:24.629623Z
fig-000018,Alien,3,https://cdn.rebrickable.com/media/sets/fig-000018/104606.jpg,https://rebrickable.com/minifigs/fig-000018/alien/,2020-04-12T02:21:23.944627Z
fig-000019,"UFO Alien, Blue",5,https://cdn.rebrickable.com/media/sets/fig-000019/65553.jpg,https://rebrickable.com/minifigs/fig-000019/ufo-alien-blue/,2020-05-04T20:24:05.542064Z
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",5,https://cdn.rebrickable.com/media/sets/fig-000020/56987.jpg,https://rebrickable.com/minifigs/fig-000020/classic-spaceman-red-with-airtanks-3842a-helmet/,2020-05-04T18:52:04.356989Z
fig-000021,Krusty the Clown (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000021/58405.jpg,https://rebrickable.com/minifigs/fig-000021/krusty-the-clown-cmf/,2020-04-17T08:17:03.602851Z
fig-000022,Chicken Suit Guy,4,https://cdn.rebrickable.com/media/sets/fig-000022/109468.jpg,https://rebrickable.com/minifigs/fig-000022/chicken-suit-guy/,2020-04-12T06:17:54.084081Z
fig-000023,Warrior Woman,4,https://cdn.rebrickable.com/media/sets/fig-000023/72516.jpg,https://rebrickable.com/minifigs/fig-000023/warrior-woman/,2020-04-12T06:20:27.519255Z
fig-000024,Race Car Driver (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000024/92903.jpg,https://rebrickable.com/minifigs/fig-000024/race-car-driver-cmf/,2020-05-21T19:22:38.780114Z
fig-000025,Conquistador,6,https://cdn.rebrickable.com/media/sets/fig-000025/72518.jpg,https://rebrickable.com/minifigs/fig-000025/conquistador/,2020-04-12T06:22:26.049314Z
fig-000026,Firox,10,https://cdn.rebrickable.com/media/sets/fig-000026/61493.jpg,https://rebrickable.com/minifigs/fig-000026/firox/,2020-04-12T06:30:07.906016Z
fig-000027,"UFO Alien, Red",5,https://cdn.rebrickable.com/media/sets/fig-000027/64041.jpg,https://rebrickable.com/minifigs/fig-000027/ufo-alien-red/,2020-05-04T20:23:56.919160Z
fig-000028,"Hulk, Dark Purple Pants, Printed",4,https://cdn.rebrickable.com/media/sets/fig-000028/111212.jpg,https://rebrickable.com/minifigs/fig-000028/hulk-dark-purple-pants-printed/,2022-01-08T20:00:07.353698Z
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",4,https://cdn.rebrickable.com/media/sets/fig-000029/60572.jpg,https://rebrickable.com/minifigs/fig-000029/harry-potter-open-dark-blue-jacket-over-white-shirt-dark-bluish-gray-legs/,2020-04-30T06:04:42.346838Z
fig-000030,Space Police II,6,https://cdn.rebrickable.com/media/sets/fig-000030/138844.jpg,https://rebrickable.com/minifigs/fig-000030/space-police-ii/,2020-04-12T18:09:21.482456Z
