inventory_id,fig_num,quantity,set_num,set_url,last_modified
3,fig-001549,1,fig-001549,https://rebrickable.com/minifigs/fig-001549/emma-lavender-top-magenta-skirt/,2020-04-12 22:57:07.829555+00:00
4,fig-000764,1,fig-000764,https://rebrickable.com/minifigs/fig-000764/danny-longlegs-corporal-steel/,2020-05-04 21:05:47.500479+00:00
19,fig-000555,1,fig-000555,https://rebrickable.com/minifigs/fig-000555/coca-cola-defender-2/,2020-06-17 14:17:21.302316+00:00
25,fig-000574,1,fig-000574,https://rebrickable.com/minifigs/fig-000574/minnie-mouse-with-dark-pink-with-white-spots-dress-and-bow-cmf/,2020-05-03 00:27:59.720247+00:00
26,fig-000842,1,fig-000842,https://rebrickable.com/minifigs/fig-000842/coast-guard-blue-jacket-with-zipper-and-id-badge-blue-cap-blue-sunglasses/,2020-05-26 18:22:34.961943+00:00
26,fig-008641,1,fig-008641,https://rebrickable.com/minifigs/fig-008641/coast-guard-woman-blue-jacket-with-zipper-and-id-badge-black-hair/,2020-05-26 18:21:12.470871+00:00
26,fig-008642,1,fig-008642,https://rebrickable.com/minifigs/fig-008642/coast-guard-woman-blue-jacket-with-zipper-and-id-badge-blue-cap-yellow-life-vest/,2020-05-26 18:22:01.961749+00:00
26,fig-008643,1,fig-008643,https://rebrickable.com/minifigs/fig-008643/coast-guard-blue-jacket-with-zipper-and-id-badge-white-helmet-with-visor-headset/,2020-05-26 18:23:15.579176+00:00
26,fig-008644,1,fig-008644,https://rebrickable.com/minifigs/fig-008644/coast-guard-diver-blue-jacket-with-zipper-and-id-badge-white-helmet-with-mask-blue-sunglasses/,2020-05-26 18:24:22.790304+00:00
26,fig-008645,1,fig-008645,https://rebrickable.com/minifigs/fig-008645/coast-guard-blue-jacket-with-red-tie-and-id-badge-black-hair-moustache/,2020-05-26 18:25:06.431245+00:00
27,fig-000359,1,fig-000359,https://rebrickable.com/minifigs/fig-000359/johnny-thunder-desert/,2020-04-12 06:58:44.627534+00:00
28,fig-000787,1,fig-000787,https://rebrickable.com/minifigs/fig-000787/criminal-prison-shirt-with-50380-dark-bluish-gray-legs-black-hat-gold-tooth/,2020-05-10 20:21:03.276147+00:00
28,fig-000817,1,fig-000817,https://rebrickable.com/minifigs/fig-000817/policeman-black-jacket-with-radio-and-badge-white-helmet-with-visor-sunglasses/,2020-05-03 04:49:57.852806+00:00
28,fig-006715,1,fig-006715,https://rebrickable.com/minifigs/fig-006715/policeman-black-suit-with-badge-white-hat-life-vest-glasses/,2020-05-03 04:51:25.913499+00:00
